Bone_Mandiblez,Thyroidz,Brainstemz,Cavity_Oralz,Esophagusz,Eye_Lz,Eye_Rz,Glnd_Submand_Lz,Glnd_Submand_Rz,Larynxz,LN_L_Ibz,LN_L_II-IVz,LN_L_RPz,LN_L_Vz,LN_R_Ibz,LN_R_II-IVz,LN_R_RPz,LN_R_Vz,Lobe_Temporal_Lz,Lobe_Temporal_Rz,Musc_Constrictz,Parotid_Lz,Parotid_Rz,SpinalCordz,Tracheaz
[ 38 103 123],,[26 29 35],[12 63 74],[42 54 25],[12 26 26],[12 22 24],[18 37 25],[22 29 23],[34 39 51],[18 53 30],[59 57 54],[28 16 17],[17 44 64],[12 16 15],[96 78 74],[44 23 15],[46 47 59],[ 22 108  63],[ 19 123  52],[69 27 44],[25 53 40],[18 52 26],[131 100  33],[25 48 24]
[ 41  96 120],,[29 31 35],[ 28  85 150],[59 83 37],[10 20 21],[10 26 28],[16 22 17],[28 27 24],[60 69 45],[20 54 34],[54 69 51],[36 21 19],[24 49 46],[24 53 41],[78 79 72],[30 20 18],[43 71 59],[ 21 121  68],[ 22 117  61],[66 25 48],[29 43 38],[31 46 53],[104  85  18],[46 48 34]
[ 43 109 119],,[22 29 34],[ 20  66 130],[46 77 25],[10 27 26],[12 24 26],[20 25 32],[22 29 27],[59 74 37],[19 59 47],[94 78 78],[35 19 23],[24 49 53],[20 63 44],[90 75 57],[27 22 20],[38 55 49],[21 85 53],[23 94 54],[62 35 49],[28 44 32],[29 38 29],[109 108  15],[32 59 25]
[ 48  99 121],,[32 34 42],[ 26  79 136],[21 36 22],[ 9 23 26],[12 27 27],[15 26 18],[21 32 22],[63 71 48],[19 47 40],[72 55 52],[38 12 17],[25 45 53],[18 59 42],[19 70 48],[23 12 12],[33 50 37],[23 95 62],[18 94 51],[69 40 43],[23 32 32],[26 42 29],[117 140  24],[30 54 24]
[ 41  97 132],,[23 30 32],[ 25  95 143],[62 66 26],[12 23 25],[11 26 24],[20 30 23],[25 27 25],[73 83 53],[18 59 46],[52 72 56],[32 14 32],[25 44 52],[31 56 38],[92 89 61],[34 14 22],[33 77 59],[ 22 117  55],[ 24 126  65],[61 27 41],[21 37 36],[28 37 31],[128  99  31],[48 67 39]
[ 43 105 131],,[24 29 35],[ 31  83 139],[73 79 26],[12 25 25],[11 25 25],[25 27 26],[15 26 24],[52 97 48],[21 71 60],[73 74 51],[31 25 19],[30 34 42],[18 84 55],[ 78 108  99],[34 14 11],[30 57 58],[19 91 54],[16 93 59],[49 36 49],[30 56 42],[33 49 38],[130  98  22],[27 51 27]
[ 47  90 109],,[37 31 34],[ 38  89 132],[68 67 34],[11 26 25],[12 25 24],[19 29 18],[ 9 26 21],[76 73 44],[21 48 34],[59 83 51],[33 19 13],[34 37 57],[10 64 36],[97 75 59],[42 15 12],[27 35 43],[ 24 122  57],[16 92 61],[61 32 50],[33 46 37],[26 48 44],[116  90  30],[47 59 28]
[ 45 108 121],,[31 38 40],[31 75 81],[25 51 26],[13 26 26],[13 26 25],[15 38 22],[17 21 22],[58 52 41],[24 54 42],[65 72 55],[26 15 17],[34 48 50],[17 41 29],[59 80 52],[32 13 15],[23 57 65],[15 86 54],[ 24 110  57],[69 34 50],[27 38 40],[22 42 36],[126 125  27],[45 64 35]
[ 37 106 132],,[32 27 30],[ 37 103 104],[60 83 34],[13 24 25],[12 25 24],[17 18 22],[21 25 25],[33 38 46],[17 39 33],[78 73 65],[27 17 16],[32 32 37],[30 83 46],[100  80  85],[30 31 15],[49 42 49],[ 24 110  60],[18 92 52],[68 39 60],[27 44 31],[22 36 34],[122  73  35],[45 63 26]
[ 52  77 122],,[27 35 33],[ 20  65 137],[50 55 24],[13 26 27],[11 25 27],[19 29 24],[20 28 24],[65 69 47],[21 52 43],[88 72 56],[36 20 16],[56 86 51],[26 60 41],[59 67 61],[32 12 15],[39 46 42],[16 91 48],[ 17 120  61],[61 20 44],[21 32 27],[20 37 33],[131 109  20],[36 85 29]
